1	104.17.77.122	10.133.19.67		
2	216.239.36.181	10.133.19.67		
3	10.133.19.67	216.239.36.181		
4	216.239.36.181	10.133.19.67		
5	216.239.36.181	10.133.19.67		
6	10.133.19.67	216.239.36.181		
7	10.133.19.67	216.239.36.181		
8	142.250.190.46	10.133.19.67		
9	142.250.190.46	10.133.19.67		
10	104.17.77.122	10.133.19.67		
11	142.251.166.155	10.133.19.67		
12	142.251.166.155	10.133.19.67		
13	10.133.19.67	142.251.166.155		
14	10.133.19.67	142.251.166.155		
15	142.251.166.155	10.133.19.67		
16	142.251.166.155	10.133.19.67		
17	142.251.166.155	10.133.19.67		
18	10.133.19.67	142.251.166.155		
19	10.133.19.67	142.251.166.155		
20	216.239.36.181	10.133.19.67		
21	10.133.19.67	142.250.190.46		
22	10.133.19.67	142.251.166.155		
23	104.17.77.122	10.133.19.67		
24	104.17.77.122	10.133.19.67		
25	104.17.77.122	10.133.19.67		
26	104.17.77.122	10.133.19.67		
27	104.17.77.122	10.133.19.67		
28	104.17.77.122	10.133.19.67		
29	104.17.77.122	10.133.19.67		
30	104.17.77.122	10.133.19.67		
31	104.17.77.122	10.133.19.67		
32	216.239.36.181	10.133.19.67		
33	104.17.77.122	10.133.19.67		
34	104.17.77.122	10.133.19.67		
35	104.17.77.122	10.133.19.67		
36	104.17.77.122	10.133.19.67		
37	104.17.77.122	10.133.19.67		
38	104.17.77.122	10.133.19.67		
39	104.17.77.122	10.133.19.67		
40	104.17.77.122	10.133.19.67		
41	104.17.77.122	10.133.19.67		
42	104.17.77.122	10.133.19.67		
43	104.17.77.122	10.133.19.67		
44	104.17.77.122	10.133.19.67		
45	104.17.77.122	10.133.19.67		
46	104.17.77.122	10.133.19.67		
47	104.17.77.122	10.133.19.67		
48	104.17.77.122	10.133.19.67		
49	104.17.77.122	10.133.19.67		
50	104.17.77.122	10.133.19.67		
51	104.17.77.122	10.133.19.67		
52	104.17.77.122	10.133.19.67		
53	104.17.77.122	10.133.19.67		
54	10.133.19.67	104.17.77.122		
55	10.133.19.67	104.17.77.122		
56	10.133.19.67	104.17.77.122		
57	104.17.77.122	10.133.19.67		
58	142.251.166.155	10.133.19.67		
59	142.251.166.155	10.133.19.67		
60	10.133.19.67	142.251.166.155		
61	142.251.166.155	10.133.19.67		
62	10.133.19.67	142.251.166.155		
63	142.251.166.155	10.133.19.67		
64	142.251.166.155	10.133.19.67		
65	10.133.19.67	142.251.166.155		
66	142.251.166.155	10.133.19.67		
67	10.133.19.67	142.251.166.155		
68	10.133.19.67	142.251.166.155		
69	10.133.19.67	104.17.77.122		
70	142.251.166.155	10.133.19.67		
71	10.133.19.67	142.250.190.46		
72	10.133.19.67	104.17.77.122		
73	10.133.19.67	137.22.1.7		
74	142.250.190.46	10.133.19.67		
75	142.251.166.155	10.133.19.67		
76	10.133.19.67	137.22.1.7		
77	104.17.77.122	10.133.19.67		
78	137.22.1.7	10.133.19.67		
79	137.22.1.7	10.133.19.67		
80	10.133.19.67	172.217.2.36		
81	104.17.77.122	10.133.19.67		
82	172.217.2.36	10.133.19.67		
83	10.133.19.67	172.217.2.36		
84	10.133.19.67	172.217.2.36		
85	10.133.19.67	104.17.77.122		
86	172.217.2.36	10.133.19.67		
87	172.217.2.36	10.133.19.67		
88	172.217.2.36	10.133.19.67		
89	10.133.19.67	172.217.2.36		
90	10.133.19.67	172.217.2.36		
91	172.217.2.36	10.133.19.67		
92	10.133.19.67	172.217.2.36		
93	172.217.2.36	10.133.19.67		
94	10.133.19.67	172.217.2.36		
95	10.133.19.67	172.217.2.36		
96	10.133.19.67	172.217.2.36		
97	10.133.19.67	172.217.2.36		
98	10.133.19.67	104.17.77.122		
99	172.217.2.36	10.133.19.67		
100	172.217.2.36	10.133.19.67		
101	10.133.19.67	172.217.2.36		
102	10.133.19.67	172.217.2.36		
103	172.217.2.36	10.133.19.67		
104	10.133.19.67	172.217.2.36		
105	104.17.77.122	10.133.19.67		
106	10.133.19.67	104.17.77.122		
107	172.217.2.36	10.133.19.67		
108	172.217.2.36	10.133.19.67		
109	10.133.19.67	172.217.2.36		
110	172.217.2.36	10.133.19.67		
111	172.217.2.36	10.133.19.67		
112	10.133.19.67	172.217.2.36		
113	10.133.19.67	172.217.2.36		
114	172.217.0.170	10.133.19.67		
115	104.17.77.122	10.133.19.67		
116	104.17.77.122	10.133.19.67		
117	104.17.77.122	10.133.19.67		
118	104.17.77.122	10.133.19.67		
119	10.133.19.67	104.17.77.122		
120	10.133.19.67	172.217.0.170		
121	172.217.2.36	10.133.19.67		
122	10.133.19.67	104.17.77.122		
123	104.17.77.122	10.133.19.67		
124	137.22.94.20	10.133.19.67		
125	10.133.19.67	137.22.94.20		
126	137.22.94.20	10.133.19.67		
127	10.133.19.67	137.22.94.20		
128	137.22.94.20	10.133.19.67		
129	137.22.94.20	10.133.19.67		
130	137.22.94.20	10.133.19.67		
131	137.22.94.20	10.133.19.67		
132	137.22.94.20	10.133.19.67		
