146.75.82.91,0.60
104.19.188.97,0.60
151.101.130.91,0.40
151.101.118.91,0.40
216.239.38.178,0.40
146.75.78.91,0.30
146.75.106.91,0.30
216.239.32.178,0.20
151.101.2.67,0.20
216.239.34.178,0.20
199.232.154.91,0.20
216.239.36.178,0.20
151.101.70.91,0.20
151.101.38.91,0.20
146.75.38.91,0.20
146.75.10.91,0.20
146.75.46.91,0.20
151.101.206.91,0.20
151.101.46.91,0.20
146.75.86.91,0.20
151.101.126.91,0.20
35.155.61.223,0.10
151.101.106.91,0.10
151.101.134.91,0.10
151.101.222.91,0.10
146.75.26.91,0.10
54.149.224.63,0.10
151.101.182.91,0.10
199.232.74.91,0.10
146.75.22.91,0.10
199.232.190.91,0.10
54.213.162.191,0.10
35.165.38.174,0.10
52.35.21.164,0.10
199.232.94.91,0.10
199.232.106.91,0.10
52.168.117.170,0.10
151.101.98.91,0.10
199.232.114.91,0.10
199.232.29.51,0.10
146.75.94.91,0.10
151.101.154.91,0.10
151.101.210.91,0.10
54.200.222.213,0.10
199.232.34.91,0.10
151.101.2.91,0.10
151.101.146.91,0.10
52.41.98.210,0.10
199.232.38.91,0.10
146.75.2.91,0.10
54.187.41.104,0.10
146.75.34.91,0.10
146.75.114.91,0.10
130.211.16.53,0.10
146.75.66.91,0.10
146.75.62.91,0.10
